Ticket,NF,Data Ocorrência,Ocorrência,Parceiro, Valor , Produto , Emissão ,Quantidade,Categoria Produto,UF,SKU
#29274,98789,03/03/2023,Avaria,Exata Cargo," R$  738,11 ",Painel Solar Fotovoltaico Osda ODA330-36-P Poli (330Wp),2023-01-20,1,Painel 330 Wp,PA,10091
#28460,98822,01/02/2023,Avaria,TNT," R$  499,00 ",Painel Solar Fotovoltaico Resun RS7E-210M (210Wp),2023-01-20,1,Painel 210 Wp,SC,10165
#28499,4197,07/03/2023,Extravio,Movvi," R$  822,04 ",Painel Solar Fotovoltaico Sunova Solar SS-550-72MDH (550Wp) - 2.0m cabo,2023-01-18,1,Painel 550 Wp,PI,10287
#28883,98644,14/02/2023,Avaria,TNT," R$  778,00 ",Painel Solar Fotovoltaico Resun RS6E-155M (155Wp),2023-01-18,2,Painel 155 Wp,PE,10141
#28580,4207,06/02/2023,Avaria,Movvi," R$  1.499,00 ",Painel Solar Fotovoltaico Luxen LNVH-595M Mono (595Wp) - cabo 1.8m,2023-01-18,1,Painel 595 Wp,,10283
#28305,98584,26/01/2023,Avaria,Solistica," R$  152,52 ",PAINEL SOLAR FOTOVOLTAICO RESUN RSM020P (20WP),2023-01-17,1,Painel 20 Wp,PR,20313
#28243,98576,24/01/2023,Avaria,TNT," R$  612,87 ",Painel Solar Fotovoltaico Osda ODA280-30-P Poli (280Wp),2023-01-17,1,Painel 280 Wp,BA,10092
#28757,4179,21/08/2023,Extravio,Movvi," R$  772,09 ",Painel Solar Fotovoltaico Luxen LNVU-550M Mono (550Wp),2023-01-17,1,Painel 550 Wp,0,10305
#28525,98575,03/02/2023,Avaria,Total," R$  279,00 ",Painel Solar Fotovoltaico Resun RSM100P (100Wp),2023-01-17,1,Painel 100 Wp,SP,10142
#28449,4150,01/02/2023,Avaria,Tecmar," R$  1.399,00 ",Painel Solar Fotovoltaico Sunova Solar SS-550-72MDH (550Wp) - 2.0m cabo,2023-01-16,1,Painel 550 Wp,RS,10287
#28584,98212,24/02/2023,Extravio,Gran Cargo," R$  2.952,00 ",PAINEL SOLAR FOTOVOLTAICO OSDA ODA420-36V-PH (420WP),2023-01-13,3,Painel 420 Wp,TO,20302
#28623,98231,07/02/2023,Extravio,Correios," R$  599,00 ",Controlador de Carga MPPT Epever 30A 12/24V XTRA3210N-XDS2,2023-01-13,1,Controlador 30A,PA,10071
#28349,4119,26/01/2023,Avaria,TNT," R$  1.236,02 ",PAINEL SOLAR FOTOVOLTAICO SUNOVA SS-550-72MDH (550WP) 2.0M CABO,2023-01-13,1,Painel 550 Wp,SC,20323
#28307,98042,26/01/2023,Avaria,Tecmar," R$  255,50 ",Painel Solar Fotovoltaico Resun RSM060P (60Wp),2023-01-12,1,Painel 60 Wp,RS,10088
#28181,4110,19/01/2023,Avaria,Alfa," R$  1.399,00 ",Painel Solar Fotovoltaico Sunova Solar SS-550-72MDH (550Wp),2023-01-12,1,Painel 550 Wp,SP,10144
#28096,98012,16/01/2023,Avaria,RodomaxLog," R$  346,50 ",Painel Solar Fotovoltaico Resun RS6E-155M (155Wp),2023-01-11,1,Painel 155 Wp,SP,10141
#28134,97943,17/01/2023,Avaria,Tecmar," R$  910,88 ",Painel Solar Fotovoltaico Osda ODA330-36-P Poli (330Wp),2023-01-10,1,Painel 330 Wp,PR,10091
#28192,97920,20/01/2023,Avaria,Movvi," R$  361,77 ",Painel Solar Fotovoltaico Resun RS6E-155M (155Wp),2023-01-09,1,Painel 155 Wp,RS,10141
#28215,97934,20/01/2023,Avaria,TNT," R$  361,77 ",Painel Solar Fotovoltaico Resun RS6E-155M (155Wp),2023-01-09,1,Painel 155 Wp,SC,10141
